month,hour,maintenance,failure,weekday,temprature,simple_pos
12,23,303,1616,1,80643.2226,1
12,22,303,1616,1,80643.2226,0
12,21,303,1616,1,80643.2226,1
12,20,303,1616,1,80643.2226,1
12,19,303,2223,1,80643.2226,1
12,18,303,2832,1,80643.2226,1
12,17,303,3192,1,80643.2226,1
12,16,303,3090,1,80643.2226,1
12,15,303,1583,1,80643.2226,1
12,14,303,1283,1,80643.2226,1
12,13,303,1283,1,80643.2226,1
12,12,303,1295,1,80643.2226,1
12,11,303,1380,1,80643.2226,1
12,10,303,1680,1,80643.2226,1
12,9,303,1595,1,80643.2226,1
12,8,303,1438,1,80643.2226,1
12,7,303,805,1,80643.2226,1
12,6,303,1270,1,80643.2226,1
12,5,303,1819,1,80643.2226,1
12,4,303,1774,1,80643.2226,1
12,3,303,1157,1,80643.2226,1
12,2,303,1607,1,80643.2226,1
12,1,303,1312,1,80643.2226,1
12,0,303,2784,1,80643.2226,1
12,23,303,1687,7,94146.9168,1
12,22,303,1597,7,94146.9168,0
12,21,303,1147,7,94146.9168,0
12,20,303,632,7,94146.9168,0
12,19,303,567,7,94146.9168,0
12,18,304,567,7,94146.9168,0
12,17,304,777,7,94146.9168,0
12,16,304,777,7,94146.9168,0
12,15,304,777,7,94146.9168,0
12,14,304,567,7,94146.9168,0
12,13,304,567,7,94146.9168,0
12,12,304,567,7,94146.9168,0
12,11,304,567,7,94146.9168,0
12,10,304,567,7,94146.9168,0
12,9,304,567,7,94146.9168,0
12,8,304,567,7,94146.9168,0
12,7,304,747,7,94146.9168,0
12,6,304,747,7,94146.9168,1
12,5,304,567,7,94146.9168,1
12,4,304,567,7,94146.9168,1
12,3,304,567,7,94146.9168,1
12,2,304,567,7,94146.9168,1
12,1,304,567,7,94146.9168,0
12,0,304,3340,7,94146.9168,0
12,23,304,3066,6,86269.2974,1
12,22,304,2968,6,86269.2974,0
12,21,304,2881,6,86269.2974,0
12,20,304,3149,6,86269.2974,0
12,19,304,3144,6,86269.2974,0
12,18,304,2876,6,86269.2974,0
12,17,304,1743,6,86269.2974,0
12,16,304,2282,6,86269.2974,0
12,15,304,2012,6,86269.2974,0
12,14,304,1802,6,86269.2974,0
12,13,304,1147,6,86269.2974,0
12,12,304,1415,6,86269.2974,0
12,11,304,1621,6,86269.2974,0
12,10,304,1483,6,86269.2974,0
12,9,304,765,6,86269.2974,0
12,8,304,703,6,86269.2974,0
12,7,304,765,6,86269.2974,1
12,6,304,765,6,86269.2974,0
12,5,304,907,6,86269.2974,0
12,4,304,1072,6,86269.2974,0
12,3,304,1377,6,86269.2974,1
12,2,304,1377,6,86269.2974,0
12,1,304,1237,6,86269.2974,1
12,0,304,2092,6,86269.2974,1
12,23,304,1020,5,78525.2306,1
12,22,304,855,5,78525.2306,0
12,21,304,1075,5,78525.2306,0
12,20,304,1295,5,78525.2306,0
12,19,304,1343,5,78525.2306,0
12,18,304,1337,5,78525.2306,0
12,17,304,1474,5,78525.2306,0
12,16,304,2128,5,78525.2306,0
12,15,304,2187,5,78525.2306,0
12,14,304,1363,5,78525.2306,0
12,13,304,1237,5,78525.2306,0
12,12,304,1870,5,78525.2306,0
12,11,304,1443,5,78525.2306,0
12,10,304,1866,5,78525.2306,0
12,9,304,1530,5,78525.2306,1
12,8,304,808,5,78525.2306,0
12,7,304,378,5,78525.2306,1
12,6,304,378,5,78525.2306,1
12,5,304,193,5,78525.2306,0
12,4,304,193,5,78525.2306,0
12,3,304,674,5,78525.2306,0
12,2,304,1155,5,78525.2306,1
12,1,304,1057,5,78525.2306,0
